country,id,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Тайвань,6whxKQ0Ocn1FmzpDc7lTHq,Eric Chou,想知道你在想什麼 - 《我吃了那男孩一整年的早餐》電影主題曲,0.455,0.297,7,-11.63,1,0.0265,0.212,2.14e-06,0.121,0.243,90.093,294027,4
Тайвань,1GpbSYjurHKlxhcxCZ1Bqa,小阿七,从前说,0.616,0.69,4,-5.189,1,0.0338,0.671,0.0,0.368,0.446,115.966,251501,4
Тайвань,5cRKj1kynNFqiliT2ndZ3y,Higuchi Ai,Akuma no Ko,0.561,0.686,6,-6.273,0,0.0473,0.267,0.0,0.137,0.22,89.97,227680,4
Тайвань,5eDJH4MfpRQM9S9WTiu7yU,队长,11 (with Hooleeger),0.483,0.736,7,-4.84,1,0.0604,0.0774,0.0,0.125,0.531,148.054,234817,4
Тайвань,4zCIxSnVWpGNghERX4uWZF,YENA,SMILEY(Feat. BIBI),0.652,0.91,9,-3.444,1,0.134,0.0963,1.25e-05,0.093,0.82,155.967,173413,4
Тайвань,4ueFwMAuH7aUwAru2RGoKk,夏日入侵企画,想去海边,0.599,0.78,2,-8.401,1,0.0478,0.0278,0.0,0.14,0.544,129.943,267000,4
Тайвань,3o9kpgkIcffx0iSwxhuNI2,Em Beihold,Numb Little Bug,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,169238,4
Тайвань,5elW2CKSoqjYoJ32AGDxf1,ENHYPEN,Polaroid Love,0.738,0.67,7,-3.766,0,0.0439,0.458,0.0,0.361,0.651,138.055,184602,4
Тайвань,5XW4BwCrfYpci5zMbJxs4N,Wig Wam,Do Ya Wanna Taste It,0.559,0.793,2,-3.536,0,0.028,0.0191,0.0,0.394,0.69,92.034,176973,4
Тайвань,503OTo2dSqe7qk76rgsbep,Dr. Dre,Still D.R.E.,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,270587,4
Тайвань,5lVXigzlj6GykxiztBE77k,山K,一步一步走进你的心,0.775,0.246,7,-10.86,1,0.0492,0.618,0.0,0.325,0.737,115.007,169182,4
Тайвань,6CvQ14exlU57aAaHeFDLB0,あかせあかり,恋ノ行方,0.766,0.743,1,-4.602,1,0.0271,0.297,0.000209,0.351,0.813,139.94,218533,4
Тайвань,3CQMzA6brEqbHhb42cWXbX,Luxiem,Hope in the dark,0.566,0.937,11,-3.566,0,0.077,0.000792,0.00113,0.141,0.217,100.522,184552,4
Тайвань,59Sb6nRqJ7ki3qxmXfrRYZ,青井,直到我,0.556,0.8,10,-6.336,1,0.0448,0.176,0.0,0.0626,0.403,121.923,233844,4
Тайвань,0z81zrkn4dqmRLJpRePjYc,王ADEN,想了妳6次,0.561,0.632,7,-6.149,1,0.0818,0.428,0.0,0.236,0.602,87.801,223636,4
Тайвань,09XPFGKSR0HbbfbSt7GSox,王ADEN,妳是我寶貝ㄟ,0.689,0.541,5,-7.116,0,0.048,0.269,0.0,0.298,0.582,140.116,212143,4
Тайвань,3QP3cYE3qnplFueLKNVsbM,队长,哪里都是你,0.544,0.401,5,-8.347,1,0.027,0.749,1.51e-05,0.265,0.163,131.846,222683,4
Тайвань,3q2gceGVnkswyel0G0ZCso,桑梅絹,思念,0.411,0.228,0,-12.718,1,0.0305,0.72,0.000864,0.205,0.182,141.626,252419,4
Тайвань,2cAybAa8GqYLhiqgrkrNUp,James Bay,Scars,0.424,0.451,5,-8.817,1,0.0626,0.09,0.00048,0.11,0.212,129.768,272600,5
Тайвань,0Rq6JJwpZ9f1SU6Cfhgjv7,Nigo,Arya (feat. A$AP Rocky),0.958,0.478,7,-7.669,1,0.192,0.0823,0.0,0.126,0.379,120.042,162254,4
Тайвань,2lY44TemIwr4can1AIKj3V,魚丁糸,憂愁 (魚in summer),0.443,0.679,9,-4.958,1,0.038,0.192,0.000734,0.21,0.682,179.951,277527,4
